,room,table,project,tracks,link
90,,B9,Indian Premier League Visualizations,All Beginner,https://hackcu-vi.devpost.com/submissions/143201-indian-premier-league-visualizations
91,,nan4,Doki Doki CU Story!~,,https://hackcu-vi.devpost.com/submissions/143202-doki-doki-cu-story
92,,Dish Network Challenge4,Go Anonymous ,Dish Network Challenge,https://hackcu-vi.devpost.com/submissions/143203-go-anonymous
93,,Most Creative Usage of Twitter API10,Go Anonymous ,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143203-go-anonymous
94,,F9,Phone Virtual Reality Skiing! With Wii Fit Board,Most Random,https://hackcu-vi.devpost.com/submissions/143204-phone-virtual-reality-skiing-with-wii-fit-board
95,,G0,Just Caption This,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143205-just-caption-this
96,,Most Creative Usage of Twitter API11,Just Caption This,Most Creative Usage of Twitter API,https://hackcu-vi.devpost.com/submissions/143205-just-caption-this
97,,G1,ProjectCodeEmpower,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143206-projectcodeempower
98,,Best Use of TapWithUS SDK5,TapWithUsHackCU,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143207-tapwithushackcu
99,,Best Use of TapWithUS SDK6,RUBIKS CUBE  USING TAP AIRMOUSE,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
100,,C8,RUBIKS CUBE  USING TAP AIRMOUSE,Best UX/UI,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
101,,D5,RUBIKS CUBE  USING TAP AIRMOUSE,Sustainability,https://hackcu-vi.devpost.com/submissions/143208-rubiks-cube-using-tap-airmouse
102,,nan5,!Backend,,https://hackcu-vi.devpost.com/submissions/143209-backend
103,,Best Use of TapWithUS SDK7,Coding Chat,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143210-coding-chat
104,,G2,Coding Chat,Empowering Underrepresented People in Tech,https://hackcu-vi.devpost.com/submissions/143210-coding-chat
105,,MLH: Best use of MongoDB Atlas5,Sustainabeanity,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
106,,MLH: Best Use of Google Cloud11,Sustainabeanity,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
107,,D6,Sustainabeanity,Sustainability,https://hackcu-vi.devpost.com/submissions/143211-sustainabeanity
108,,Best Use of TapWithUS SDK8,Tap Invaders,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143213-tap-invaders
109,,MLH: Best Domain Registered with Domain.com6,Hacks For Health,MLH: Best Domain Registered with Domain.com,https://hackcu-vi.devpost.com/submissions/143214-hacks-for-health
110,,B10,Hacks For Health,All Beginner,https://hackcu-vi.devpost.com/submissions/143214-hacks-for-health
111,,MLH: Best use of MongoDB Atlas6,Catscan,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143216-catscan
112,,F10,Catscan,Most Random,https://hackcu-vi.devpost.com/submissions/143216-catscan
113,,MLH: Best Use of Google Cloud12,Catscan,MLH: Best Use of Google Cloud,https://hackcu-vi.devpost.com/submissions/143216-catscan
114,,nan6,Getloc Poster using Adobe XD,,https://hackcu-vi.devpost.com/submissions/143217-getloc-poster-using-adobe-xd
115,,Best Use of TapWithUS SDK9,TapPiano,Best Use of TapWithUS SDK,https://hackcu-vi.devpost.com/submissions/143218-tappiano
116,,B11,TapPiano,All Beginner,https://hackcu-vi.devpost.com/submissions/143218-tappiano
117,,MLH: Best use of MongoDB Atlas7,cyberhood,MLH: Best use of MongoDB Atlas,https://hackcu-vi.devpost.com/submissions/143219-cyberhood
118,,E8,cyberhood,Social Impact,https://hackcu-vi.devpost.com/submissions/143219-cyberhood
119,,E9,Sleepy Driver Detect,Social Impact,https://hackcu-vi.devpost.com/submissions/143220-sleepy-driver-detect
